URL,City,Check In,Check Out,Features,Price Per Night,Cleaning Fee,Airbnb Service Fee
https://www.airbnb.com/rooms/19497035?adults=1&search_mode=regular_search&check_in=2024-11-01&check_out=2024-11-02&source_impression_id=p3_1728615128_P38rX_BPvbi8nciQ&previous_page_section_name=1000&federated_search_id=51cf010a-b1dc-421a-bebc-4f2e4f68779a,"Austin, TX",2024-11-01,2024-11-02,"Hair dryer; Shampoo; Hot water; Essentials; Hangers; Bed linens; TV with standard cable; Air conditioning; Heating; Smoke alarm; Carbon monoxide alarm; Fire extinguisher; First aid kit; Wifi; Kitchen; Microwave; Cooking basics; Dishes and silverware; Mini fridge; Electric stove; Coffee maker; Toaster; Coffee; Private entrance; Backyard; Free parking on premises; Free street parking; Self check-in; Keypad; Unavailable: Washer
Washer; Unavailable: Dryer
Dryer",75.0,58.0,19.0
https://www.airbnb.com/rooms/728398566714687271?adults=1&search_mode=regular_search&check_in=2024-11-01&check_out=2024-11-02&source_impression_id=p3_1728615128_P3UfElLWLiaIAU5t&previous_page_section_name=1000&federated_search_id=51cf010a-b1dc-421a-bebc-4f2e4f68779a,"Austin, TX",2024-11-01,2024-11-02,"Park view; Bathtub; Cleaning products; Shampoo; Conditioner; Body soap; Hot water; Shower gel; Free washer – In unit; Free dryer – In unit; Essentials; Hangers; Bed linens; Extra pillows and blankets; Room-darkening shades; Iron; Clothing storage: walk-in closet; Ethernet connection; 55 inch HDTV with Amazon Prime Video, Apple TV, HBO Max, Hulu, Netflix, Roku; Marshall Bluetooth sound system; Books and reading material; Crib; Pack ’n play/Travel crib; Board games; Central air conditioning; Central heating; Exterior security cameras on property; Smoke alarm; Carbon monoxide alarm; Fire extinguisher; First aid kit; Fast wifi – 619 Mbps; Dedicated workspace; Kitchen; Refrigerator; Microwave; Cooking basics; Dishes and silverware; Freezer; Dishwasher; Samsung stainless steel electric stove; Stainless steel oven; Hot water kettle; Coffee maker: Keurig coffee machine; Wine glasses; Baking sheet; Blender; Dining table; Coffee; Private entrance; Private patio or balcony; Private backyard – Fully fenced; Free parking on premises – 2 spaces; Free street parking; Single level home; Pets allowed; Long term stays allowed; Self check-in; Smart lock",128.0,80.0,29.0
https://www.airbnb.com/rooms/679898178953664028?adults=1&search_mode=regular_search&check_in=2024-11-01&check_out=2024-11-02&source_impression_id=p3_1728615128_P3SUfBSWPLPyWv5G&previous_page_section_name=1000&federated_search_id=51cf010a-b1dc-421a-bebc-4f2e4f68779a,"Austin, TX",2024-11-01,2024-11-02,"Cleaning products; Shampoo; Conditioner; Body soap; Hot water; Essentials; Bed linens; Extra pillows and blankets; Room-darkening shades; AC - split type ductless system; Heating; Exterior security cameras on property; Wifi; Refrigerator; Cooking basics; Dishes and silverware; Mini fridge; Freezer; Electric stove; Wine glasses; Toaster; Kitchenette; Coffee; Private entrance; Laundromat nearby; Private patio or balcony; Free parking on premises; Free street parking; Long term stays allowed; Self check-in; Lockbox; Unavailable: Kitchen
Kitchen; Unavailable: TV
TV; Unavailable: Washer
Washer; Unavailable: Dryer
Dryer; Unavailable: Smoke alarm
Smoke alarm; Unavailable: Carbon monoxide alarm
Carbon monoxide alarm",67.0,,9.0
https://www.airbnb.com/rooms/850943041880480790?adults=1&search_mode=regular_search&check_in=2024-11-01&check_out=2024-11-02&source_impression_id=p3_1728615128_P31cO44HXXfshhsY&previous_page_section_name=1000&federated_search_id=51cf010a-b1dc-421a-bebc-4f2e4f68779a,"Austin, TX",2024-11-01,2024-11-02,"Hot water; Paid washer – In building; TV; Game console; Air conditioning; Ceiling fan; Heating; Exterior security cameras on property; Smoke alarm; Carbon monoxide alarm; Fire extinguisher; First aid kit; Wifi; Dedicated workspace; Kitchen; Refrigerator; Dishes and silverware; Coffee maker; Private patio or balcony; Free parking on premises; Self check-in; Keypad; Unavailable: Dryer
Dryer; Unavailable: Essentials
Essentials",112.0,40.0,21.0
https://www.airbnb.com/rooms/1253888333134597746?adults=1&search_mode=regular_search&check_in=2024-11-01&check_out=2024-11-02&source_impression_id=p3_1728615128_P3fcAzpMjrT5uAKh&previous_page_section_name=1000&federated_search_id=51cf010a-b1dc-421a-bebc-4f2e4f68779a,"Austin, TX",2024-11-01,2024-11-02,"Bathtub; Hair dryer; Cleaning products; Shampoo; Conditioner; Body soap; Hot water; Shower gel; Free washer – In unit; Free dryer – In unit; Essentials; Hangers; Bed linens; Extra pillows and blankets; Room-darkening shades; Iron; Clothing storage; TV; Books and reading material; Central air conditioning; AC - split type ductless system; Ceiling fan; Central heating; Heating - split type ductless system; Noise decibel monitors on property; Exterior security cameras on property; Smoke alarm; Carbon monoxide alarm; Fire extinguisher; First aid kit; Wifi; Dedicated workspace; Kitchen; Refrigerator; Microwave; Cooking basics; Dishes and silverware; Mini fridge; Freezer; Dishwasher; Stove; Oven; Coffee maker: drip coffee maker; Wine glasses; Toaster; Baking sheet; Barbecue utensils; Dining table; Coffee; Private entrance; Private patio or balcony; Private backyard – Fully fenced; Fire pit; Outdoor furniture; Outdoor dining area; Private outdoor kitchen; Private BBQ grill: gas; Sun loungers; Free driveway parking on premises – 5 spaces; Private outdoor pool - available all year, open specific hours, heated; EV charger - level 2; Long term stays allowed; Self check-in; Keypad; Housekeeping available from 11:00 AM to 3:00 PM, every day - available at extra cost",354.0,135.0,69.0
https://www.airbnb.com/rooms/954942863450302846?adults=1&search_mode=regular_search&check_in=2024-11-01&check_out=2024-11-02&source_impression_id=p3_1728615128_P3hkxqVEzL4BxwdM&previous_page_section_name=1000&federated_search_id=51cf010a-b1dc-421a-bebc-4f2e4f68779a,"Austin, TX",2024-11-01,2024-11-02,"Valley view; Bathtub; Hair dryer; Cleaning products; Bidet; Hot water; Free washer – In unit; Free dryer – In unit; Essentials; Hangers; Bed linens; Room-darkening shades; Clothing storage; 42 inch HDTV; Board games; Babysitter recommendations; AC - split type ductless system; Heating - split type ductless system; Smoke alarm; Carbon monoxide alarm; Fire extinguisher; First aid kit; Wifi; Dedicated workspace; Kitchen; Samsung refrigerator; Microwave; Cooking basics; Dishes and silverware; Freezer; Dishwasher; Samsung gas stove; Samsung stainless steel single oven; Coffee maker: drip coffee maker, french press; Wine glasses; Barbecue utensils; Coffee; Private entrance; Private patio or balcony; Fire pit; Outdoor furniture; Hammock; Outdoor dining area; BBQ grill; Free parking on premises; Free street parking; Private hot tub - available all year; Pets allowed; Luggage dropoff allowed; Smoking allowed; Long term stays allowed; Self check-in; Keypad; Unavailable: Exterior security cameras on property
Exterior security cameras on property",225.0,,32.0
https://www.airbnb.com/rooms/47965881?adults=1&search_mode=regular_search&check_in=2024-11-01&check_out=2024-11-02&source_impression_id=p3_1728615128_P3n5ooXqUBb0Few2&previous_page_section_name=1000&federated_search_id=51cf010a-b1dc-421a-bebc-4f2e4f68779a,"Austin, TX",2024-11-01,2024-11-02,"Hair dryer; Shampoo; Body soap; Hot water; Dryer; Essentials; Hangers; Bed linens; Extra pillows and blankets; Iron; TV with standard cable; Air conditioning; Heating; Smoke alarm; Carbon monoxide alarm; First aid kit; Fast wifi – 506 Mbps; Dedicated workspace; Kitchen; Refrigerator; Microwave; Cooking basics; Dishes and silverware; Dishwasher; Stove; Oven; Coffee maker; Private entrance; Patio or balcony; Backyard; Outdoor furniture; Free parking on premises; Shared pool; Luggage dropoff allowed; Self check-in; Keypad; Unavailable: Exterior security cameras on property
Exterior security cameras on property; Unavailable: Washer
Washer",244.0,,34.0
https://www.airbnb.com/rooms/1141339553870359190?adults=1&search_mode=regular_search&check_in=2024-11-01&check_out=2024-11-02&source_impression_id=p3_1728615128_P349lQJfqZnqjQ0c&previous_page_section_name=1000&federated_search_id=51cf010a-b1dc-421a-bebc-4f2e4f68779a,"Austin, TX",2024-11-01,2024-11-02,"Hair dryer; Body soap; Essentials; Bed linens; Iron; TV with standard cable; Air conditioning; Heating; Smoke alarm; Wifi; Dedicated workspace; Refrigerator; Microwave; Coffee maker; Elevator; Gym; Paid parking off premises; Host greets you; Unavailable: Kitchen
Kitchen; Unavailable: Washer
Washer; Unavailable: Carbon monoxide alarm
Carbon monoxide alarm; Unavailable: Shampoo
Shampoo; Unavailable: Private entrance
Private entrance",137.0,,19.0
https://www.airbnb.com/rooms/22496776?adults=1&category_tag=Tag%3A8678&enable_m3_private_room=true&photo_id=1617147154&search_mode=regular_search&check_in=2024-11-01&check_out=2024-11-02&source_impression_id=p3_1728615128_P3RgzVIZXRUT2kU7&previous_page_section_name=1000&federated_search_id=51cf010a-b1dc-421a-bebc-4f2e4f68779a,"Austin, TX",2024-11-01,2024-11-02,"Bathtub; Hair dryer; Cleaning products; Kirkland Moisturizing Shampoo shampoo; Kirkland Moisturizing Conditioner conditioner; Body soap; Hot water; Shower gel; Free washer – In unit; Free dryer – In unit; Essentials; Hangers; Bed linens; Extra pillows and blankets; Room-darkening shades; Iron; Clothing storage: closet; 50 inch HDTV with HBO Max, Hulu, Netflix, Amazon Prime Video, Apple TV; Books and reading material; Central air conditioning; Ceiling fan; Portable fans; Central heating; Lock on bedroom door; Exterior security cameras on property; Smoke alarm; Carbon monoxide alarm; Fire extinguisher; First aid kit; Wifi; Dedicated workspace; Kitchen; Whirlpool refrigerator; Microwave; Cooking basics; Dishes and silverware; Mini fridge; Freezer; Dishwasher; GE stainless steel gas stove; Oven; Hot water kettle; Coffee maker: Keurig coffee machine; Wine glasses; Toaster; Baking sheet; Blender; Dining table; Coffee; Laundromat nearby; Backyard; Sun loungers; Free driveway parking on premises – 2 spaces; Free street parking; Luggage dropoff allowed; Long term stays allowed; Self check-in; Smart lock; Cleaning available during stay",50.0,20.0,10.0
https://www.airbnb.com/rooms/622710737832242824?adults=1&search_mode=regular_search&check_in=2024-11-01&check_out=2024-11-02&source_impression_id=p3_1728615128_P3VzCtmG1Vkap9QN&previous_page_section_name=1000&federated_search_id=51cf010a-b1dc-421a-bebc-4f2e4f68779a,"Austin, TX",2024-11-01,2024-11-02,"Garden view; Courtyard view; Bathtub; Hair dryer; Cleaning products; Shampoo; Conditioner; Body soap; Bidet; Hot water; Free washer – In unit; Free dryer – In unit; Essentials; Hangers; Bed linens; Room-darkening shades; Iron; Ethernet connection; 65 inch HDTV with Chromecast; Piano; Vizio Bluetooth sound system; Game console: PS4; Books and reading material; Crib; Board games; Baby safety gates; Central air conditioning; Ceiling fan; Portable fans; Central heating; Smoke alarm; Carbon monoxide alarm; First aid kit; Wifi; Dedicated workspace; Kitchen; GE Profile refrigerator; Microwave; Cooking basics; Dishes and silverware; Freezer; Dishwasher; Whirlpool stainless steel gas stove; Whirlpool stainless steel oven; Hot water kettle; Wine glasses; Rice maker; Barbecue utensils; Dining table; Private patio or balcony; Private backyard – Fully fenced; Fire pit; Outdoor furniture; Hammock; Outdoor dining area; BBQ grill; Free parking on premises; Free street parking; EV charger - level 2, tesla only; Pets allowed; Self check-in; Keypad; Unavailable: Exterior security cameras on property
Exterior security cameras on property",212.0,40.0,36.0
